"index","season_weekly","rain_weekly","removal_num_weekly","removal_freq_weekly","temp_weekly","det.Predicted","det.SE","det.lower","det.upper"
 49,"dry",9.979844e+00,5,0,24.78733,0.077943102,0.107243992,0.009070434,0.549620619
 49,"early_dry",7.568124e+00,1,0,29.65166,0.114018980,0.069981900,0.032421031,0.332023753
 49,"late_dry",3.648859e-01,1,0,32.39970,0.037546170,0.031955267,0.006898975,0.180034424
 49,"late_wet",3.212839e+01,3,0,36.79297,0.233430094,0.165279203,0.058362004,0.627795821
 49,"wet",5.727220e+01,3,0,34.28229,0.087004515,0.071165146,0.020654778,0.367705333
 50,"dry",5.350427e+00,5,0,26.49483,0.074574258,0.103437384,0.008618886,0.539792631
 50,"early_dry",1.401389e+01,0,1,32.16398,0.104361388,0.087575310,0.022013703,0.425343599
 50,"late_dry",4.980315e-01,4,0,31.51153,0.040326000,0.049853832,0.004771717,0.357939094
 50,"late_wet",2.892410e+01,3,0,38.11305,0.226702396,0.161473171,0.056587650,0.617059376
 50,"wet",4.406383e+01,1,0,35.87365,0.083198279,0.046192697,0.027281079,0.228743385
 51,"dry",4.711331e+00,4,0,24.15222,0.079466188,0.095856828,0.009900520,0.511492049
 51,"early_dry",1.685393e+01,5,0,32.75960,0.106786487,0.127734022,0.018158948,0.546871192
 51,"late_dry",1.458289e-01,4,1,29.77913,0.043569005,0.059694500,0.003588167,0.436601139
 51,"late_wet",3.484409e+01,0,1,36.48241,0.230274576,0.159256065,0.058846959,0.618188544
 51,"wet",7.449732e+01,3,1,35.11899,0.082978623,0.086215037,0.011991215,0.455077076
 52,"dry",3.349820e+00,4,0,25.29575,0.076773179,0.092773568,0.009615587,0.501662805
 52,"early_dry",2.022260e+01,3,1,30.95223,0.111221126,0.117429806,0.014691907,0.556388745
 52,"late_dry",1.309385e-01,3,1,29.64840,0.043147791,0.053190722,0.004136579,0.367880428
 52,"late_wet",4.691909e+01,0,1,39.26602,0.208079515,0.148806456,0.051316304,0.587591393
 52,"wet",2.646395e+01,4,0,34.24062,0.095155724,0.092503687,0.020400703,0.462052850
 53,"dry",7.395148e+00,5,1,26.32490,0.076012239,0.112245085,0.006160955,0.603070145
 53,"early_dry",1.116478e+01,4,1,30.38605,0.117078106,0.138189313,0.013652940,0.626128081
 53,"late_dry",8.370363e-02,3,0,31.01834,0.040418337,0.043300861,0.005466694,0.283659811
 53,"late_wet",5.492591e+01,0,0,37.75049,0.209849089,0.096313150,0.078730136,0.452286009
 53,"wet",1.215678e+02,4,0,33.68908,0.077907399,0.084775769,0.013494916,0.442090514
 54,"dry",1.093241e+01,3,0,24.37168,0.076657994,0.081105844,0.010599681,0.439868067
 54,"early_dry",1.304013e+01,5,0,29.65541,0.118648778,0.138450020,0.020481287,0.572055235
 54,"late_dry",3.760578e-02,0,1,29.81715,0.041177115,0.043206345,0.005751218,0.280196524
 54,"late_wet",4.657915e+01,0,1,36.57129,0.224421294,0.157203525,0.056593993,0.611014628
 54,"wet",1.317214e+01,0,1,32.76872,0.099779160,0.078226558,0.023707625,0.388433635
 55,"dry",6.954826e+00,3,1,25.63833,0.075670772,0.088987934,0.007789771,0.496838101
 55,"early_dry",1.651913e+01,3,0,28.95631,0.117260497,0.101347091,0.023509962,0.471650570
 55,"late_dry",2.926547e-01,0,0,30.78965,0.039011226,0.031584383,0.007731300,0.174580286
